"","Strain","Batch","Class"
"_B2G_gal11_1_pos_055","GAL11","1","Glucose"
"_B2G_gal11_2_pos_056","GAL11","1","Glucose"
"_B2G_WT_1_pos_059","WT","1","Glucose"
"_B2G_WT_2_pos_060","WT","1","Glucose"
"RP_POS_GAL11_2.B5G_009","GAL11","2","Glucose"
"RP_POS_GAL11_1.B5G_041","GAL11","2","Glucose"
"RP_POS_GAL11_3.B5G_047","GAL11","2","Glucose"
"RP_POS_WT_1.B5G_068","WT","2","Glucose"
"RP_POS_WT_1.B7G_075","WT","2","Glucose"
"RP_POS_WT_2.B7G_077","WT","2","Glucose"
"RP_POS_GAL11_1.B7G_090","GAL11","2","Glucose"
